Unnamed: 0,date_registered,username,name,gender,address,email,birthdate,residence,employer,job,age,salary,credit_card_provider,credit_card_number,credit_card_security_code,credit_card_expire
0,2021-09-16,r**********n,Courtney Castillo,M,"71866 Gary Roads Apt. 215, New Jessica, VT 11536",m*****@hotmail.com,1977-09-13,"14457 Jessica View Apt. 448, East Stephenview, VA 68529",c04287bc-1,ad9307f2-d,40-50,50K-100K,f66f3c7f-1,XXXX-XXXX-XXXX-9846,***,a3fc945d-2
1,2019-07-24,e*****a,Brenda Moore MD,F,"381 Berry Square Suite 745, West Ralph, NV 47052",a*****@hotmail.com,1970-09-07,"9649 Caitlin Stravenue, South Amyton, NJ 65286",960f616c-9,9ce28290-a,40-50,50K-100K,4214a41c-8,XXXX-XXXX-XXXX-5979,***,bcadccd3-c
2,2019-11-14,t*********n,Jill Reed,M,"65205 Tracy Landing, Michaelside, MO 68026",v*****@gmail.com,2009-03-11,"0027 Richardson Club, East Anthony, NY 09080",fe4ed02c-2,ec67568f-3,40-50,200K+,d1dd9f74-9,XXXX-XXXX-XXXX-2247,***,3826358a-0
3,2021-12-09,r*************l,Alejandra Parker,F,"19333 Yvonne Bridge, West Elizabethland, WY 40997",k*****@gmail.com,1991-10-14,"685 Mejia Squares Apt. 103, Gregoryburgh, GU 53723",14b7e141-8,b8a85785-b,30-40,100K-150K,b008364f-b,XXXX-XXXX-XXXX-7844,***,7ba2dc0f-1
4,2020-08-02,t************n,Rebecca Rodriguez,F,"493 Cindy Plains, New Tammychester, ME 98809",j*****@hotmail.com,1989-06-10,"448 Mayo Grove, Melissaport, GA 26163",5c9ebfd6-7,ce62fa68-a,50-60,100K-150K,390ea076-a,XXXX-XXXX-XXXX-8217,***,a16747e9-0
5,2022-01-24,b*********s,Samantha Valencia,M,"USS Mercado, FPO AA 02740",c*****@hotmail.com,1936-07-16,"77370 Steele Parks, Bethberg, AK 33859",1bb5e572-3,c2e02912-5,40-50,<50K,198c5627-6,XXXX-XXXX-XXXX-8101,***,b14603a2-c
6,2019-09-24,l**********e,Matthew Walters,F,"17154 Lee Centers Suite 657, New John, PA 72384",i*****@gmail.com,1981-09-04,"3592 Hernandez Lights Apt. 066, Lake Robert, OH 66676",01c67d42-0,6a092de5-2,50-60,150K-200K,54696bb4-8,XXXX-XXXX-XXXX-9994,***,f3ac6377-8
7,2021-09-25,k***********h,Aaron Adams,F,"Unit 8564 Box 2889, DPO AA 35874",r*****@yahoo.com,1923-09-15,"52314 Shaw Lane, Lake David, OH 28048",6afb0ddd-2,f08e809f-9,50-60,50K-100K,187785eb-3,XXXX-XXXX-XXXX-8906,***,59aaa09a-c
8,2021-10-27,s****9,Stuart Martinez,F,"534 Thomas Plains, Hansonfurt, WA 20723",m*****@gmail.com,2001-03-29,"05944 Miller Gardens, Harringtonchester, NM 69071",5a2ce93e-a,e4a5c629-5,60+,150K-200K,e0cf90b1-7,XXXX-XXXX-XXXX-3176,***,139994da-4
9,2020-04-27,s***********h,Krystal Mcguire,F,"7513 Cobb Prairie, Peterstad, CO 71571",m*****@gmail.com,1931-11-04,"3089 Lara Cape, New Kevin, UT 29734",e81e3dcd-a,edbabc0d-d,20-30,50K-100K,99775188-b,XXXX-XXXX-XXXX-1637,***,93966644-a
